prompt,completion,result
"A cruise company can either have two types of trips, a large cruise ship or a small cruise ship. A large cruise ship trip can carry 2000 customers and produces 20 units of pollution. A small cruise ship trip can carry 800 customers and produces 15 units of pollution. There can be at most 7 large cruise ship trips and at least 40% of the total trips must be made by small cruise ships. If the cruise company aims to transport at least 20000 customers, how many of each size of cruise ships should the company use to minimize the total amount of pollution produced?","#miss match
from pulp import *

# Create a LP problem
prob = LpProblem(""Minimize_Pollution"", LpMinimize)

# Define decision variables
x = LpVariable('x', lowBound=0, upBound=7, cat='Integer')  # number of large cruise ship trips
y = LpVariable('y', lowBound=0, cat='Integer')            # number of small cruise ship trips

# Objective function
prob += 20*x + 15*y, ""Total_Pollution""

# Constraints
prob += 2000*x + 800*y >= 20000, ""Customer_Constraint""
prob += y >= 0.4*(x + y), ""Mix_Constraint""

# Solve the problem
prob.solve()

# Check for infeasibility or unboundedness
if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective):.0f}"")",260
"A lighting company has access to two types of lights to provide their customers, an LED fixture, and a fluorescence lamp. The LED light uses 5 units of electricity per hour and needs to be changed 3 times a decade. Conversely, the fluorescence lamp uses 8 units of electricity per hour and needs to be changed 4 times a decade. Due to previous installations, at least 30% implemented lights must be fluorescence lamps. If the customer requires at least 300 light fixtures and can use at most 2000 units of electricity, how many of each light should be installed to reduce the total number of light changes?","import pulp

# Create a LP minimization problem
prob = pulp.LpProblem(""MinimizeLightChanges"", pulp.LpMinimize)

# Define variables
x = pulp.LpVariable('x', lowBound=0, cat='Integer')   # Number of LED fixtures
y = pulp.LpVariable('y', lowBound=0, cat='Integer')   # Number of fluorescence lamps

# Objective function: minimize total number of light changes (3x + 4y)
prob += 3*x + 4*y, ""MinimizeLightChanges""

# Constraints
# Total number of light fixtures constraint: x + y >= 300
prob += x + y >= 300, ""TotalLightFixturesConstraint""

# Maximum electricity consumption constraint: 5x + 8y <= 2000
prob += 5*x + 8*y <= 2000, ""MaxElectricityConstraint""

# Proportion of fluorescence lamps constraint: y >= 0.3 * (x + y)
prob += y >= 0.3 * (x + y), ""ProportionFluorescenceLampsConstraint""

# Solve the problem
prob.solve()

if pulp.LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{pulp.value(prob.objective)}"")",990
"A market owner wants to start a jam business. He can either sell one unit of jam to customers in a set of small packets or jugs. A set of small packets can hold 1000 ml of jam while a jug can hold 1250 ml of jam. Since a set of small packets are more expensive to make, at least three times as many jugs must be used than sets of small packets. On the other hand, at least 35 sets of small packets should be filled. If the market owner has 65000 ml of jam, how many sets of small packets or jugs should be selected to maximize the total number of units that he can sell to his customers?","#No solution
from pulp import *

# Create a LP problem
prob = LpProblem(""Maximize_Jam_Units"", LpMaximize)

# Define decision variables
x = LpVariable('x', lowBound=35, cat='Integer')  # number of sets of small packets
y = LpVariable('y', lowBound=0, cat='Integer')   # number of jugs

# Objective function
prob += x + y, ""Total_Units_of_Jam""

# Constraints
prob += 1000*x + 1250*y <= 65000, ""Total_Jam_Constraint""
prob += y >= 3*x, ""Ratio_Constraint""

# Solve the problem
prob.solve()

# Check for infeasibility or unboundedness
if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",None
"A navy ship is stocking food onto their submarine and their staff can eat either a salad or fruit bowl for their fibre and vitamin intake. The nutritionist in charge of this voyage needs to ensure that their staff gets at least 90 units of vitamin and 110 units of fibre each. Each salad contains 7 units of vitamins and 12 units of fibre. Each fruit bowl contains 15 units of vitamin and 3 units of fibre. In addition, since fruit bowls take longer to prepare, at most 30% of their meals should be fruit bowls. If each salad contains 2 units of potassium and each fruit bowl contains 8 units of potassium, how many of each should they prepare for each staff to maximize their potassium intake?","#No solution
from pulp import *

# Create a LP problem
prob = LpProblem(""Maximize_Potassium_Intake"", LpMaximize)

# Define decision variables
x = LpVariable('x', lowBound=0, cat='Integer')  # number of salads
y = LpVariable('y', lowBound=0, cat='Integer')  # number of fruit bowls

# Objective function
prob += 2*x + 8*y, ""Total_Potassium_Intake""

# Constraints
prob += 7*x + 15*y >= 90, ""Vitamin_Constraint""
prob += 12*x + 3*y >= 110, ""Fibre_Constraint""
prob += 7*y <= 3*x, ""Fruit_Bowl_Limitation""

# Solve the problem
prob.solve()

# Check for infeasibility or unboundedness
if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective):.0f}"")",0
"A clothing company can sell their product in two types of stores, a retail store and a factory outlet. A retail store brings in 200 customers every day and requires 6 employees to operate. A factory outlet brings in 80 customers every day and due to the lower traffic and being in more remote areas, requires 4 employees to run. Company executives decided that there must be at least 1200 customers every day, and can make available 50 employees. How should the company distribute their product to the two types of store to reduce the number of stores that must be open?","import pulp

# Create a LP minimization problem
prob = pulp.LpProblem(""MinimizeStores"", pulp.LpMinimize)

# Define variables
x = pulp.LpVariable('x', lowBound=0, cat='Integer')   # Number of retail stores
y = pulp.LpVariable('y', lowBound=0, cat='Integer')   # Number of factory outlets

# Objective function: minimize total number of stores (x + y)
prob += x + y, ""MinimizeStores""

# Constraints
# Customer constraint: 200x + 80y >= 1200
prob += 200*x + 80*y >= 1200, ""CustomerConstraint""

# Employee constraint: 6x + 4y <= 50
prob += 6*x + 4*y <= 50, ""EmployeeConstraint""

# Solve the problem
prob.solve()

if pulp.LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{pulp.value(prob.objective)}"")",6
"A soda company sells soda in two types of containers: cans and glass bottles. A can holds 250 ml of soda whereas a bottle holds 1000 ml of soda. The soda company needs to bottle at least 1000000 ml of soda every day and due to the ability to sell soda cans as packs, there must be at least three times more cans than glass bottles. However, because of previous contracts with gas stations, there must be at least 100 glass bottles made. How many of each should be made to maximize the total number of units produced?","#no solution
from pulp import *

# Create a LP problem
prob = LpProblem(""Maximize_Total_Units_Produced"", LpMaximize)

# Define decision variables
x = LpVariable('x', lowBound=0, cat='Integer')  # number of cans
y = LpVariable('y', lowBound=0, cat='Integer')  # number of glass bottles

# Objective function
prob += x + y, ""Total_Units_Produced""

# Constraints
prob += 250*x + 1000*y >= 1000000, ""Soda_Volume_Constraint""
prob += x >= 3*y, ""Ratio_Cans_to_Bottles""
prob += y >= 100, ""Minimum_Bottles_Constraint""

# Solve the problem
prob.solve()

# Check for infeasibility or unboundedness
if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",0
"A candle-making company can move their inventory of candles using freight and air. Freight can transport 5 tons per trip while using air can transport 3 tons per trip. Since freight take longer, the cost for each freight trip is 300 while the cost over air for each trip is 550. The company needs to transport at least 200 tons of candles and they have a budget of 20000. Additionally, due to some urgent orders, at least 30% of tons of candles must be transported through air. There must also be at least 5 trips through freight. How many of trip by each should be scheduled to minimize the total number of trips?","import pulp

# Create a LP minimization problem
prob = pulp.LpProblem(""MinimizeTrips"", pulp.LpMinimize)

# Define variables
x = pulp.LpVariable('x', lowBound=0, cat='Integer')   # Number of trips by freight
y = pulp.LpVariable('y', lowBound=0, cat='Integer')   # Number of trips by air

# Objective function: minimize total number of trips (x + y)
prob += x + y, ""MinimizeTrips""

# Constraints
# Transportation capacity constraint: 5x + 3y >= 200
prob += 5*x + 3*y >= 200, ""TransportationCapacityConstraint""

# Budget constraint: 300x + 550y <= 20000
prob += 300*x + 550*y <= 20000, ""BudgetConstraint""

# Air transportation requirement: y >= 0.3 * (x + y)
prob += y >= 0.3 * (x + y), ""AirTransportationRequirement""

# Minimum trips by freight constraint: x >= 5
prob += x >= 5, ""MinimumFreightTripsConstraint""

# Solve the problem
prob.solve()

if pulp.LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{pulp.value(prob.objective)}"")",46
"A production company needs to transport their equipment and staff for a movie they are shooting using large mobile production units or small mobile production units. Large mobile production units can hold 6 people and takes up 2 parking spots whereas small mobile production units can hold only 2 people and takes up 1 parking spot. Movie stars prefer to have their small mobile production unit to share with a close staff, therefore at least 5 units must be small mobile units. However, due to logistic limitations, large mobile production units are more space efficient per spot, they must make up at least 75% of all vehicles. If the movie needs to transport 80 people, minimize the total number of parking spots required by this production.","import pulp

# Create a LP minimization problem
prob = pulp.LpProblem(""MinimizeParkingSpots"", pulp.LpMinimize)

# Define variables
x = pulp.LpVariable('x', lowBound=0, cat='Integer')   # Number of large mobile production units
y = pulp.LpVariable('y', lowBound=0, cat='Integer')   # Number of small mobile production units

# Objective function: minimize total number of parking spots (2x + y)
prob += 2*x + y, ""MinimizeParkingSpots""

# Constraints
# Capacity constraint: 6x + 2y >= 80
prob += 6*x + 2*y >= 80, ""CapacityConstraint""

# Minimum small mobile units constraint: y >= 5
prob += y >= 5, ""MinimumSmallMobileUnitsConstraint""

# Percentage constraint for large mobile units: x >= 0.75 * (x + y)
prob += x >= 0.75 * (x + y), ""PercentageConstraint""

# Solve the problem
prob.solve()

if pulp.LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{pulp.value(prob.objective)}"")",35
"A mask making company ships masks to their retail stores using small boxes and large boxes. A small box holds 25 masks whereas a large box holds 45 masks. Since small boxes are easier to stack and will be used first to stock stores, there must be at least three times as many small boxes as large boxes. Additionally, at least 5 large boxes must be used. If at least 750 masks are required to be distributed, how many of each size of box should be used to minimize the total number of boxes needed?","import pulp

# Create a LP minimization problem
prob = pulp.LpProblem(""MinimizeBoxes"", pulp.LpMinimize)

# Define variables
x = pulp.LpVariable('x', lowBound=0, cat='Integer')   # Number of small boxes
y = pulp.LpVariable('y', lowBound=0, cat='Integer')   # Number of large boxes

# Objective function: minimize total number of boxes (x + y)
prob += x + y, ""MinimizeBoxes""

# Constraints
# Capacity constraint: 25x + 45y >= 750
prob += 25*x + 45*y >= 750, ""CapacityConstraint""

# Minimum large boxes constraint: y >= 5
prob += y >= 5, ""MinimumLargeBoxesConstraint""

# Ratio constraint for small and large boxes: x >= 3y
prob += x >= 3*y, ""RatioConstraint""

# Solve the problem
prob.solve()

if pulp.LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{pulp.value(prob.objective)}"")",26
"Grain is transported from a farm to local grocery stores in either large bags or tiny bags. Large bags can hold 25 kg of grain and requires 4 units of energy to transport. Tiny bags can hold 6 kg of grain and requires 1.5 units of energy to transport. The distribution process has access to 110 units of energy. Because of popularity of buying in bulk, there must be twice as many large bags as tiny bags of rice. Additionally, there must be at least 20 tiny bags of rice. How many of each size of rice bags should be used to maximize the total amount of grain in weight?","#no solution
from pulp import *

# Create a LP problem
prob = LpProblem(""Maximize_Grain_Transport"", LpMaximize)

# Define decision variables
x = LpVariable('x', lowBound=0, cat='Integer')  # number of large bags
y = LpVariable('y', lowBound=0, cat='Integer')  # number of tiny bags

# Objective function
prob += 25*x + 6*y, ""Total_Grain_Weight_Transported""

# Constraints
prob += 4*x + 1.5*y <= 110, ""Energy_Constraint""
prob += x >= 2*y, ""Ratio_Bags_Constraint""
prob += y >= 20, ""Minimum_Tiny_Bags_Constraint""

# Solve the problem
prob.solve()

# Check for infeasibility or unboundedness
if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",None
"An autobody shop needs to purchase two types of car jacks, an automatic electric one, or a gas-powered one. The automatic electric one can process 5 cars every hour and uses 6 units of electricity whereas the gas-powered one can process 4 cars each hour using 7 units of gas. Since there is a limit to how many automatic electric ones there can be due to the limited number of power outlets, the shop must use less than 15 automatic electric ones. The shop can use at most 50 units of electricity and 80 units of gas. How many of each type of jack should the shop purchase to maximize the amount of cars processed every hour?","#miss match
from pulp import *

# Create a LP problem
prob = LpProblem(""Maximize_Car_Processing"", LpMaximize)

# Define decision variables
x = LpVariable('x', lowBound=0, upBound=15, cat='Integer')  # number of automatic electric jacks
y = LpVariable('y', lowBound=0, cat='Integer')  # number of gas-powered jacks

# Objective function
prob += 5*x + 4*y, ""Total_Cars_Processed""

# Constraints
prob += 6*x <= 50, ""Electricity_Constraint""
prob += 7*y <= 80, ""Gas_Constraint""

# Solve the problem
prob.solve()

# Check for infeasibility or unboundedness
if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",84
"A railway company is planning the infrastructure for the city and is considering two types of transportation, trains and trams. Each train can transport 120 people per hour comfortably and each tram can transport 30 people per hour comfortably. Since trains take longer to build, the number of trams must be at least twice the number of trains. If the railway company wants to transport at least 600 people per hour, minimize the total number of transportation units required.","import pulp

# Create a LP minimization problem
prob = pulp.LpProblem(""MinimizeTransportationUnits"", pulp.LpMinimize)

# Define variables
x = pulp.LpVariable('x', lowBound=0, cat='Integer')   # Number of trains
y = pulp.LpVariable('y', lowBound=0, cat='Integer')   # Number of trams

# Objective function: minimize total number of transportation units (x + y)
prob += x + y, ""MinimizeTransportationUnits""

# Constraints
# Comfortable capacity constraint: 120x + 30y >= 600
prob += 120*x + 30*y >= 600, ""CapacityConstraint""

# Relationship constraint: y >= 2x
prob += y >= 2*x, ""TrainTramRelationship""

# Solve the problem
prob.solve()

if pulp.LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{pulp.value(prob.objective)}"")",11
"Platinum in combination with palladium has been used as a catalyst in cars and it changes carbon monoxide, which is toxic, into carbon dioxide. An automotive company is comparing two different catalysts, a palladium-heavy catalyst and a platinum-heavy catalyst. The process with a palladium-heavy catalyst requires 15 units of platinum and 25 units of palladium and can perform the conversion to carbon dioxide at a rate of 5 units per second. A platinum-heavy catalyst requires 20 units of platinum and 14 units of palladium and converts to carbon dioxide at a rate of 4 units per second. There are 450 units of platinum and 390 units of palladium available. How many of each catalyst should be used to maximize the amount converted into carbon dioxide?","import pulp

# Create a LP maximization problem
prob = pulp.LpProblem(""MaximizeCarbonDioxideConversion"", pulp.LpMaximize)

# Define variables
x1 = pulp.LpVariable('x1', lowBound=0, cat='Integer')   # Number of palladium-heavy catalysts
x2 = pulp.LpVariable('x2', lowBound=0, cat='Integer')   # Number of platinum-heavy catalysts

# Objective function: maximize the amount of carbon dioxide converted
prob += 5*x1 + 4*x2, ""MaximizeCarbonDioxideConversion""

# Constraints
# Platinum constraint: 15x1 + 20x2 <= 450
prob += 15*x1 + 20*x2 <= 450, ""PlatinumConstraint""

# Palladium constraint: 25x1 + 14x2 <= 390
prob += 25*x1 + 14*x2 <= 390, ""PalladiumConstraint""

# Solve the problem
prob.solve()

if pulp.LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{pulp.value(prob.objective)}"")",98
There are two ways to extract a metal from mined ores. The first way is to use process J and the second is process P. Process J can extract 5 units of metal using 8 units of water and produces 3 units of pollution. Process P can extract 9 units of metal using 6 units of water and produces 5 units of pollution. There can be at most 1500 units of water 1350 units of pollution. How many of each type of processes should be performed to maximize the amount of metal extracted?,"import pulp

# Create a LP maximization problem
prob = pulp.LpProblem(""MaximizeMetalExtraction"", pulp.LpMaximize)

# Define variables
x1 = pulp.LpVariable('x1', lowBound=0, cat='Integer')   # Number of times process J is performed
x2 = pulp.LpVariable('x2', lowBound=0, cat='Integer')   # Number of times process P is performed

# Objective function: maximize the amount of metal extracted
prob += 5*x1 + 9*x2, ""MaximizeMetalExtraction""

# Constraints
# Water constraint: 8x1 + 6x2 <= 1500
prob += 8*x1 + 6*x2 <= 1500, ""WaterConstraint""

# Pollution constraint: 3x1 + 5x2 <= 1350
prob += 3*x1 + 5*x2 <= 1350, ""PollutionConstraint""

# Solve the problem
prob.solve()

if pulp.LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{pulp.value(prob.objective)}"")",2250
"An airport can either install escalators or elevators. Escalators can transport 20 people every minute whereas elevators can transport 8 people every minute. Escalators take up 5 units of space while elevators take 2 units of space. The airport needs to have enough capacity to transport at least 400 people every minute. Additionally, there must be at least three times more escalators than elevators and at least 2 elevators must be used. How many of each type should the airport install to minimize the total units of space taken?","import pulp

# Create a LP minimization problem
prob = pulp.LpProblem(""MinimizeSpace"", pulp.LpMinimize)

# Define variables
x = pulp.LpVariable('x', lowBound=0, cat='Integer')   # Number of escalators
y = pulp.LpVariable('y', lowBound=0, cat='Integer')   # Number of elevators

# Objective function: minimize total units of space
prob += 5*x + 2*y, ""MinimizeSpace""

# Constraints
# People transportation capacity constraint: 20x + 8y >= 400
prob += 20*x + 8*y >= 400, ""PeopleCapacityConstraint""

# Escalator-elevator ratio constraint: x >= 3y
prob += x >= 3*y, ""EscalatorElevatorRatioConstraint""

# Minimum elevators constraint: y >= 2
prob += y >= 2, ""MinimumElevatorsConstraint""

# Solve the problem
prob.solve()

if pulp.LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{pulp.value(prob.objective)}"")",100
"A research group is making fabric and plastic using two methods, method A and method B. Method A produces 25 units of fabric and 14 units of plastic per hour. Method B produces 45 units of fabric and 25 units of plastic per hour. Method A requires 60 units of a special element while method B requires 65 units of the same special element. The research group has available 3500 units of the special element and must make at least 1400 units of fabric and 1000 units of plastic. How many of each method should be executed to minimize the total time needed?","#miss match
from pulp import *

# Create a LP problem
prob = LpProblem(""Minimize_Time"", LpMinimize)

# Define decision variables
x = LpVariable('x', lowBound=0, cat='Continuous')  # hours using method A
y = LpVariable('y', lowBound=0, cat='Continuous')  # hours using method B

# Objective function
prob += x + y

# Constraints
prob += 60*x + 65*y <= 3500, ""Special_Element_Constraint""
prob += 25*x + 45*y >= 1400, ""Fabric_Production_Constraint""
prob += 14*x + 25*y >= 1000, ""Plastic_Production_Constraint""

# Solve the problem
prob.solve()

# Check for infeasibility or unboundedness
if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",40
"A taxi company will purchase vehicles to rent to their drivers. They are interested in purchasing either motorcycles or sedans. A motorcycle can transport 30 people, produces 4 units of pollution, and earns the taxi company 100 per shift. A sedan can transport 70 people, produces 15 units of pollution and earns the company 225 per shift. Because not every customer is comfortable with a motorcycle, at most 25% of vehicles can be motorcycles. Additionally, the company has committed to producing less than 200 units of pollution. The company needs to transport at least 1200 people every shift. How many of each type of vehicle should be used to maximize the total earnings for the taxi company per shift?","#no solution
from pulp import *

# Create a LP problem
prob = LpProblem(""Maximize_Earnings"", LpMaximize)

# Define decision variables
x = LpVariable('x', lowBound=0, cat='Integer')  # number of motorcycles
y = LpVariable('y', lowBound=0, cat='Integer')  # number of sedans

# Objective function
prob += 100*x + 225*y, ""Total_Earnings""

# Constraints
prob += x <= 0.25*(x + y), ""Vehicle_Type_Constraint""
prob += 4*x + 15*y <= 200, ""Pollution_Constraint""
prob += 30*x + 70*y >= 1200, ""Passenger_Capacity_Constraint""

# Solve the problem
prob.solve()

# Check for infeasibility or unboundedness
if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",None
"Due to an accident, at least 550 locals must be moved across a lake. They can either be transported over the lake by a kayak or a motorboat. Kayaks can transport 4 people every trip and motorboats can transport 5 people every trip. Kayaks take 5 minutes per trip whereas motorboats take 3 minutes per trip. Due to the limited number of motorboats available to the locals, there can be at most 25 motorboat trips and at least 75% of the trips should be by kayak. How many of each transportation method should be used to minimize the total amount of time needed to transport all the locals?","#miss match
from pulp import *

# Create a LP problem
prob = LpProblem(""Minimize_Transport_Time"", LpMinimize)

# Define decision variables
x = LpVariable('x', lowBound=0, cat='Integer')  # number of kayak trips
y = LpVariable('y', lowBound=0, cat='Integer')  # number of motorboat trips

# Objective function
prob += 5*x + 3*y, ""Total_Transport_Time""

# Constraints
prob += 4*x + 5*y >= 550, ""Total_Trips_Constraint""
prob += y <= 25, ""Motorboat_Trip_Limit""
prob += x >= 0.75*(x + y), ""Proportion_Kayak_Trips""
prob += x >= 0, ""Non-negativity_x""
prob += y >= 0, ""Non-negativity_y""

# Solve the problem
prob.solve()

# Check for infeasibility or unboundedness
if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective):.2f}"")",610
"A drop-in clinic is performing a test either through the ear or blood. A blood test takes 30 minutes to perform while an ear test takes 5 minutes to perform. Since the blood test is more accurate, at least three times as many blood tests should be performed as ear tests. However, at least 12 ear tests must be administered. If the drop-in clinic operates for 7525 minutes, maximize the number of tests that can be performed.","#all zero
from pulp import *

# Create a LP problem
prob = LpProblem(""Maximize_Test_Performance"", LpMaximize)

# Define decision variables
x = LpVariable('x', lowBound=0, cat='Integer')  # number of blood tests
y = LpVariable('y', lowBound=0, cat='Integer')  # number of ear tests

# Objective function
prob += x + y, ""Total_Tests_Performed""

# Constraints
prob += 30*x + 5*y <= 7525, ""Total_Time_Constraint""
prob += y >= 12, ""Minimum_Ear_Tests""
prob += x >= 3*y, ""Proportion_Blood_Tests""

# Solve the problem
prob.solve()

# Check for infeasibility or unboundedness
if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",316
"A researcher is outsourcing annotations and has two options: a specialized third-party or a common third-party annotation company. The specialized company can annotate at a rate of 60 images per hour whereas the common company can annotate at a rate of 40 images per hour. However, the specialized company charges 100 per hour and the common company charges 72 per hour. The researcher has deadlines to meet and must complete a dataset of at least 10,000 images. They also have some special images that only the specialized company can annotate. Therefore, at least a third of work must be allocated to the specialized company. How should the researcher distribute the annotations to the two companies to minimize the cost of annotating the whole dataset?","import pulp

# Create a LP minimization problem
prob = pulp.LpProblem(""MinimizeCost"", pulp.LpMinimize)

# Define variables
x = pulp.LpVariable('x', lowBound=0, cat='Continuous')   # Hours allocated to specialized company
y = pulp.LpVariable('y', lowBound=0, cat='Continuous')   # Hours allocated to common company

# Objective function: minimize cost
prob += 100*x + 72*y, ""MinimizeCost""

# Constraints
# Minimum number of images constraint: 60x + 40y >= 10000
prob += 60*x + 40*y >= 10000, ""MinimumImagesConstraint""

# Special images constraint: x >= y/2
prob += x >= 0.5*y, ""SpecialImagesConstraint""

# Solve the problem
prob.solve()

if pulp.LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{pulp.value(prob.objective)}"")",16666.667
"A golf course is hosting an event and can transport guests using either golf carts or pull carts. A golf cart can take 4 guests while a pull cart can take 1 guest. Since golf carts take up a lot of space, at most 60% of carts can be golf carts. If the golf course needs to transport at least 80 guests, how many of each cart should be used to minimize the total number of carts needed?","import pulp

# Create a LP minimization problem
prob = pulp.LpProblem(""MinimizeCarts"", pulp.LpMinimize)

# Define variables
x = pulp.LpVariable('x', lowBound=0, cat='Integer')   # Number of golf carts
y = pulp.LpVariable('y', lowBound=0, cat='Integer')   # Number of pull carts

# Objective function: minimize total number of carts
prob += x + y, ""MinimizeCarts""

# Constraints
# Capacity constraint: 4x + y >= 80
prob += 4*x + y >= 80, ""CapacityConstraint""

# Limit on golf carts: x <= 0.6*(x + y)
prob += 0.4*x - 0.6*y <= 0, ""LimitGolfCarts""

# Solve the problem
prob.solve()

if pulp.LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{pulp.value(prob.objective)}"")",29
"A smoothie shop has a promotion for their two smoothies; an acai berry smoothie and a banana chocolate smoothie. It takes 7 units of acai berries and 3 units of water to make the acai berry smoothie. It takes 6 units of banana chocolate and 4 units of water to make the banana chocolate smoothie. Banana chocolate smoothies are more popular and thus the number of banana chocolate smoothies made must be more than the number of acai berry smoothies made. However, the acai berry smoothies have a loyal customer base, and at least 35% of the smoothies made must be acai berry smoothies. If the smoothie shop has 3500 units of acai berries and 3200 units of banana chocolate, to reduce the total amount of water, how many of each smoothie type should be made?","#all zero
from pulp import *

# Create a LP problem
prob = LpProblem(""Minimize_Water_Usage"", LpMinimize)

# Define decision variables
x = LpVariable('x', lowBound=0, cat='Integer')  # number of acai berry smoothies
y = LpVariable('y', lowBound=0, cat='Integer')  # number of banana chocolate smoothies

# Objective function
prob += 3*x + 4*y, ""Total_Water_Usage""

# Constraints
prob += 7*x <= 3500, ""Acai_Berries_Constraint""
prob += 6*y <= 3200, ""Banana_Chocolate_Constraint""
prob += x >= 0.35 * (x + y), ""Smoothie_Proportion_Constraint""
prob += y-1 >= x, ""Banana_Chocolate_More_Than_Acai_Berries""
prob += x >= 0, ""Non-negativity_x""
prob += y >= 0, ""Non-negativity_y""

# Solve the problem
prob.solve()

# Check for infeasibility or unboundedness
if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",18
"A handmade sports equipment manufacturing company makes basketballs and footballs. Basketballs require 5 units of materials and 1 hour to make whereas footballs require 3 units of materials and 2 hours to make. The manufacturing company has available 1500 units of materials and their workers working at max capacity can work for at most 750 hours. Since basketballs sell better, there must be at least three times as many basketballs as footballs but the manufacturing company would like at least 50 footballs. How many of each should the manufacturing company make to maximize the total number of sports equipment produced?","import pulp

# Create a LP maximization problem
prob = pulp.LpProblem(""MaximizeSportsEquipment"", pulp.LpMaximize)

# Define decision variables
x = pulp.LpVariable('x', lowBound=0, cat='Integer')   # Number of basketballs
y = pulp.LpVariable('y', lowBound=0, cat='Integer')   # Number of footballs

# Objective function: maximize the total number of sports equipment
prob += x + y, ""MaximizeSportsEquipment""

# Constraints
# Materials constraint: 5x + 3y <= 1500
prob += 5*x + 3*y <= 1500, ""MaterialsConstraint""

# Hours constraint: x + 2y <= 750
prob += x + 2*y <= 750, ""HoursConstraint""

# Basketball to football ratio: x >= 3y
prob += x >= 3*y, ""BasketballFootballRatio""

# Minimum football production: y >= 50
prob += y >= 50, ""MinimumFootballProduction""

# Solve the problem
prob.solve()

if pulp.LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{pulp.value(prob.objective)}"")",333
"A researcher must perform two types of experiments, in-vivo and ex-vivo. In-vivo experiments requires 30 minutes to prepare and 60 minutes to execute. Ex-vivo experiments require 45 minutes to prepare and 30 minutes to execute. In addition, in-vivo experiments gives the researcher 2 units of radiation while ex-vivo experiments give the researcher 3 unites of radiation. At most 400 minutes can be used for preparation and 500 minutes for execution of the experiment. How many of each experiment should be scheduled by the researcher to minimize the total radiation received by the researcher?","#all zero
from pulp import *

# Create a LP problem
prob = LpProblem(""Minimize_Radiation"", LpMinimize)

# Define decision variables
x = LpVariable('x', lowBound=0, cat='Integer')  # number of in-vivo experiments
y = LpVariable('y', lowBound=0, cat='Integer')  # number of ex-vivo experiments

# Objective function
prob += 2*x + 3*y, ""Total_Radiation""

# Constraints
prob += 30*x + 45*y <= 400, ""Preparation_Time_Constraint""
prob += 60*x + 30*y <= 500, ""Execution_Time_Constraint""

# Solve the problem
prob.solve()

# Check for infeasibility or unboundedness
if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",0
"A village delivers mail to nearby villages either by runners or canoers. Runners can carry three bags of mail each time and takes 4 hours. Canoers can carry ten bags of mail each time and takes 2 hours. At most 33% of deliveries can be by canoe. Additionally, the village can spare at most 200 total hours and at least 4 runners must be used. How many of each way to deliver must be used to maximize the total amount of mail that can be delivered?","import pulp

# Create a LP maximization problem
prob = pulp.LpProblem(""MaximizeMailDelivery"", pulp.LpMaximize)

# Define decision variables
x = pulp.LpVariable('x', lowBound=4, cat='Integer')   # Number of deliveries by runners
y = pulp.LpVariable('y', lowBound=0, cat='Integer')   # Number of deliveries by canoers

# Objective function: maximize total mail delivered
prob += 3*x + 10*y, ""MaximizeMailDelivery""

# Constraints
# Percentage constraint: y <= 0.33 * (x + y)
prob += y <= 0.33 * (x + y), ""PercentageConstraint""

# Total hours constraint: 4x + 2y <= 200
prob += 4*x + 2*y <= 200, ""TotalHoursConstraint""

# Solve the problem
prob.solve()

if pulp.LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{pulp.value(prob.objective)}"")",310
